Date,Open,High,Low,Close,Adj Close,Volume,Name
2020-12-30,3420.0,3420.0,3310.0,3310.0,2917.152588,150844500,tlkm
2021-01-04,3320.0,3500.0,3310.0,3490.0,3075.789307,165339800,tlkm
2021-01-05,3480.0,3480.0,3420.0,3470.0,3058.163086,157800700,tlkm
2021-01-06,3470.0,3490.0,3330.0,3370.0,2970.03125,177877900,tlkm
2021-01-07,3390.0,3450.0,3380.0,3390.0,2987.657715,140221900,tlkm
2021-01-08,3450.0,3620.0,3440.0,3570.0,3146.294678,492643700,tlkm
2021-01-11,3590.0,3640.0,3570.0,3600.0,3172.733643,271231200,tlkm
2021-01-12,3600.0,3620.0,3500.0,3510.0,3093.415527,189779500,tlkm
2021-01-13,3550.0,3550.0,3460.0,3480.0,3066.976074,162329300,tlkm
2021-01-14,3480.0,3590.0,3470.0,3500.0,3084.602295,187448400,tlkm
2021-01-15,3510.0,3540.0,3450.0,3480.0,3066.976074,133304300,tlkm
2021-01-18,3480.0,3520.0,3430.0,3450.0,3040.536621,138913100,tlkm
2021-01-19,3470.0,3490.0,3370.0,3410.0,3005.283936,144100700,tlkm
2021-01-20,3420.0,3480.0,3380.0,3470.0,3058.163086,116098100,tlkm
2021-01-21,3500.0,3520.0,3460.0,3480.0,3066.976074,81801900,tlkm
2021-01-22,3420.0,3440.0,3360.0,3390.0,2987.657715,165024200,tlkm
2021-01-25,3370.0,3410.0,3310.0,3370.0,2970.03125,118131800,tlkm
2021-01-26,3360.0,3390.0,3260.0,3260.0,2873.08667,111414500,tlkm
2021-01-27,3340.0,3380.0,3260.0,3380.0,2978.844727,159144700,tlkm
2021-01-28,3280.0,3330.0,3230.0,3240.0,2855.460693,142648800,tlkm
2021-01-29,3290.0,3290.0,3110.0,3110.0,2740.889404,191915100,tlkm
2021-02-01,3130.0,3250.0,3040.0,3230.0,2846.647461,133929600,tlkm
2021-02-02,3300.0,3330.0,3250.0,3270.0,2881.899902,114734600,tlkm
2021-02-03,3250.0,3330.0,3220.0,3240.0,2855.460693,86433900,tlkm
2021-02-04,3270.0,3330.0,3260.0,3290.0,2899.526367,80319500,tlkm
